1, 2023-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
2, 2023-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
3, 2023-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
4, 2023-12-30T07:00:24, Света Светикова, 333782193, сломался лифт
5, 2024-01-01T03:15:04, Олег Олегов, 45788 84 15, лифт застревает
6, 2024-01-04T06:55:24, Катя Катикова, +3753336521 93, дверь подъезда не закрывается
7, 2024-02-08T11:10:13, Иван Иванов, 29999 78 90, лед на дорожках
8, 2024-03-17T14:11:00, Света Светикова, 333652193, почему нет воды
9, 2024-04-15T06:15:24, Петров Петр, 333652193, когда дадут электричество
10, 2024-05-05T17:33:11, Олег Олегов, +375457888415, когда починят интернет
11,2023-03-26T05:11:11,Иван-Петр Петров-Водкин,+375291234511,Ничего не работает!
12,2023-03-26T05:12:12,Иван-Петр Петров-Водкин,+375291234512,Ничего не работает!
13,2023-03-26T05:13:13,Иван-Петр Петров-Водкин,+375291234513,Ничего не работает!
14,2023-03-26T05:14:14,Иван-Петр Петров-Водкин,+375291234514,Ничего не работает!
15,2023-03-26T05:15:15,Иван-Петр Петров-Водкин,+375291234515,Ничего не работает!
16,2023-03-26T05:16:16,Иван-Петр Петров-Водкин,+375291234516,Ничего не работает!
17,2023-03-26T05:17:17,Иван-Петр Петров-Водкин,+375291234517,Ничего не работает!
18,2023-03-26T05:18:18,Иван-Петр Петров-Водкин,+375291234518,Ничего не работает!
19,2023-03-26T05:19:19,Иван-Петр Петров-Водкин,+375291234519,Ничего не работает!
20,2023-03-26T05:20:20,Иван-Петр Петров-Водкин,+375291234520,Ничего не работает!
21,2023-03-26T05:21:21,Иван-Петр Петров-Водкин,+375291234521,Ничего не работает!
22,2023-03-26T05:22:22,Иван-Петр Петров-Водкин,+375291234522,Ничего не работает!
23,2023-03-26T05:23:23,Иван-Петр Петров-Водкин,+375291234523,Ничего не работает!
24,2023-03-26T05:24:24,Иван-Петр Петров-Водкин,+375291234524,Ничего не работает!
25,2023-03-26T05:25:25,Иван-Петр Петров-Водкин,+375291234525,Ничего не работает!
26,2023-03-26T05:26:26,Иван-Петр Петров-Водкин,+375291234526,Ничего не работает!
27,2023-03-26T05:27:27,Иван-Петр Петров-Водкин,+375291234527,Ничего не работает!
28,2023-03-26T05:28:28,Иван-Петр Петров-Водкин,+375291234528,Ничего не работает!
29,2023-03-26T05:29:29,Иван-Петр Петров-Водкин,+375291234529,Ничего не работает!
30,2023-03-26T05:30:30,Иван-Петр Петров-Водкин,+375291234530,Ничего не работает!
